id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.2_1,AcehBarat,0.06327991466758061,0.14500683994528044,0.6954937932867185,0.5284007946444117,0.031299708783006634,0.0,5.3843047516489434e-05,0.0,0,0.1934855126889741,Tinggi,0.06565342383479678,-0.12055251803420529
IDN.1.1_1,AcehBaratDaya,0.04247545586591918,0.022343821249430004,0.5758907864870849,0.524422533718211,0.08790597951242754,0.0,0.00011441647597254005,0.0,0,0.1934855126889741,Tinggi,-0.015007016542505025,-0.0009129202132674777
IDN.1.3_1,AcehBesar,0.06557949840450049,0.05471956224350205,0.6409452801170444,0.5478916620412031,0.04998378728923476,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.04309831026139033,-0.05815216480109919
IDN.1.4_1,AcehJaya,0.08714983686326687,0.04240766073871409,0.7433944549056153,0.555719101906122,0.0918371616250366,0.0,0.0,0.0001937984496124031,0,0.1934855126889741,Tinggi,0.1290928088882055,-0.06302790533789486
IDN.1.5_1,AcehSelatan,0.09470253703253345,0.06292749658002736,0.6406680933181503,0.5001701734450483,0.06496362713584841,0.00015647819737116627,0.018286445012787724,0.06279069767441861,0,0.1934855126889741,Tinggi,0.01851536608760662,-0.08624838609846551
IDN.1.6_1,AcehSingkil,0.042750055317338546,0.013679890560875513,0.6098998892778456,0.5282858484858323,0.10214007782101167,0.0011996661798456083,0.023879391573563065,0.03798449612403101,0,0.1934855126889741,Tinggi,0.013008509594729767,-0.02163131932318338
IDN.1.7_1,AcehTamiang,0.04885886145772365,0.0013679890560875513,0.42907712059695974,0.5433500536116259,0.02529182879377432,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,-0.11256526121447719,0.021092328126872152
IDN.1.8_1,AcehTengah,0.1060205940111833,0.0506155950752394,0.636272116972067,0.5323756166752989,0.08023977284677673,0.1281556436469852,0.09794050343249427,0.2936046511627907,0,0.1934855126889741,Tinggi,0.042019123958002336,-0.19179783945624695
IDN.1.9_1,AcehTenggara,0.0939310911169624,0.0506155950752394,0.6085829243211042,0.5188197167977072,0.08241315245206296,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.012494296052280252,-0.029875316160138332
IDN.1.10_1,AcehTimur,0.12235315126348845,0.04103967168262654,0.6246813388549571,0.4459349613059772,0.032317336792044966,0.0,0.00038363171355498723,0.0,0,0.1934855126889741,Tinggi,-0.031605648966671174,-0.08182728915923902
IDN.1.11_1,AcehUtara,0.06109918940894836,0.006839945280437756,0.5416232287740329,0.5065487309272559,0.043839169909208824,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,-0.05603112760053808,-0.018876824620112337
IDN.1.12_1,BandaAceh,0.0011401356441385875,0.00045599635202918376,0.4036187531849018,0.5315833392673237,0.019455252918287938,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,-0.14767373233122816,0.026453758303787718
